lineLimit;blankQueryTime;;;lineLimit;blankQueryTime (rounded to seventh digit)
22500;0.001200246810913086;;;22500;0,0012002
22600;0.00106201171875;;;22600;0,001062
22700;0.0010004043579101562;;;22700;0,0010004
22800;0.0014004230499267579;;;22800;0,0014004
22900;0.0014003753662109376;;;22900;0,0014004
23000;0.0013993740081787109;;;23000;0,0013994
23100;0.001200103759765625;;;23100;0,0012001
23200;0.0010001659393310547;;;23200;0,0010002
23300;0.0010000705718994141;;;23300;0,0010001
23400;0.0014073848724365234;;;23400;0,0014074
23500;0.0010000705718994141;;;23500;0,0010001
23600;0.0015997886657714844;;;23600;0,0015998
23700;0.0012004375457763672;;;23700;0,0012004
23800;0.0009967803955078125;;;23800;0,0009968
23900;0.0010008811950683594;;;23900;0,0010009
24000;0.0016024112701416016;;;24000;0,0016024
24100;0.0016002178192138672;;;24100;0,0016002
24200;0.0018000602722167969;;;24200;0,0018001
24300;0.0011975765228271484;;;24300;0,0011976
24400;0.000999593734741211;;;24400;0,0009996
24500;0.0012001514434814454;;;24500;0,0012002
24600;0.0017994880676269532;;;24600;0,0017995
24700;0.001398611068725586;;;24700;0,0013986
24800;0.0011994361877441407;;;24800;0,0011994
24900;0.001200246810913086;;;24900;0,0012002
25000;0.0015997886657714844;;;25000;0,0015998
25100;0.001184701919555664;;;25100;0,0011847
25200;0.0014000892639160155;;;25200;0,0014001
25300;0.0012025833129882812;;;25300;0,0012026
25400;0.0017447948455810546;;;25400;0,0017448
25500;0.0010001182556152344;;;25500;0,0010001
25600;0.0012231826782226562;;;25600;0,0012232
25700;0.0012005329132080077;;;25700;0,0012005
25800;0.001399850845336914;;;25800;0,0013999
25900;0.0009412765502929688;;;25900;0,0009413
26000;0.0014083385467529297;;;26000;0,0014083
26100;0.0010000705718994141;;;26100;0,0010001
26200;0.0010000228881835937;;;26200;0,001
26300;0.0018005847930908203;;;26300;0,0018006
26400;0.0015995502471923828;;;26400;0,0015996
26500;0.001200246810913086;;;26500;0,0012002
26600;0.0012440681457519531;;;26600;0,0012441
26700;0.001000213623046875;;;26700;0,0010002
26800;0.0010001659393310547;;;26800;0,0010002
26900;0.0009998321533203126;;;26900;0,0009998
27000;0.0010001182556152344;;;27000;0,0010001
27100;0.0010036468505859376;;;27100;0,0010036
27200;0.0014022350311279296;;;27200;0,0014022
27300;0.0010027885437011719;;;27300;0,0010028
27400;0.0012005329132080077;;;27400;0,0012005
27500;0.0010001659393310547;;;27500;0,0010002
27600;0.0009997367858886718;;;27600;0,0009997
27700;0.001000213623046875;;;27700;0,0010002
27800;0.0009998321533203126;;;27800;0,0009998
27900;0.001600360870361328;;;27900;0,0016004
28000;0.0018077373504638671;;;28000;0,0018077
28100;0.0009821414947509765;;;28100;0,0009821
28200;0.001215982437133789;;;28200;0,001216
28300;0.0010437965393066406;;;28300;0,0010438
28400;0.001200246810913086;;;28400;0,0012002
28500;0.001000213623046875;;;28500;0,0010002
28600;0.0010002613067626952;;;28600;0,0010003
28700;0.0009998798370361329;;;28700;0,0009999
28800;0.0012026786804199218;;;28800;0,0012027
28900;0.0009997367858886718;;;28900;0,0009997
29000;0.0014033317565917969;;;29000;0,0014033
29100;0.001199626922607422;;;29100;0,0011996
29200;0.001000356674194336;;;29200;0,0010004
29300;0.0010003089904785157;;;29300;0,0010003
29400;0.0014006614685058594;;;29400;0,0014007
29500;0.0013995647430419921;;;29500;0,0013996
29600;0.0009998321533203126;;;29600;0,0009998
29700;0.0009999275207519531;;;29700;0,0009999
29800;0.0011977672576904297;;;29800;0,0011978
29900;0.001199817657470703;;;29900;0,0011998
30000;0.0009996891021728516;;;30000;0,0009997
30100;0.0010001659393310547;;;30100;0,0010002
30200;0.0010002613067626952;;;30200;0,0010003
30300;0.0009998798370361329;;;30300;0,0009999
30400;0.0009981155395507812;;;30400;0,0009981
30500;0.001000213623046875;;;30500;0,0010002
30600;0.0012005329132080077;;;30600;0,0012005
30700;0.001519632339477539;;;30700;0,0015196
30800;0.0011993408203125;;;30800;0,0011993
30900;0.0010635852813720703;;;30900;0,0010636
31000;0.0011999130249023438;;;31000;0,0011999
31100;0.0009998798370361329;;;31100;0,0009999
31200;0.0009999752044677734;;;31200;0,001
31300;0.000999307632446289;;;31300;0,0009993
31400;0.0009999752044677734;;;31400;0,001
31500;0.0014003753662109376;;;31500;0,0014004
31600;0.0009999752044677734;;;31600;0,001
31700;0.0010002613067626952;;;31700;0,0010003
31800;0.0010269641876220702;;;31800;0,001027
31900;0.0015999794006347657;;;31900;0,0016
32000;0.000999307632446289;;;32000;0,0009993
32100;0.0010000705718994141;;;32100;0,0010001
32200;0.0010000705718994141;;;32200;0,0010001
32300;0.0010007858276367188;;;32300;0,0010008
32400;0.0009999752044677734;;;32400;0,001
32500;0.0009658336639404297;;;32500;0,0009658
32600;0.001200246810913086;;;32600;0,0012002
32700;0.0012004375457763672;;;32700;0,0012004
32800;0.0014000892639160155;;;32800;0,0014001
32900;0.0009999275207519531;;;32900;0,0009999
33000;0.001250314712524414;;;33000;0,0012503
33100;0.0009998798370361329;;;33100;0,0009999
33200;0.000999784469604492;;;33200;0,0009998
33300;0.0012034893035888672;;;33300;0,0012035
33400;0.0010001182556152344;;;33400;0,0010001
33500;0.0009606361389160156;;;33500;0,0009606
33600;0.0012002944946289062;;;33600;0,0012003
33700;0.0009999275207519531;;;33700;0,0009999
33800;0.0009998798370361329;;;33800;0,0009999
33900;0.0009998321533203126;;;33900;0,0009998
34000;0.0010004043579101562;;;34000;0,0010004
34100;0.0010000705718994141;;;34100;0,0010001
34200;0.0009997367858886718;;;34200;0,0009997
34300;0.0012005329132080077;;;34300;0,0012005
34400;0.0012001514434814454;;;34400;0,0012002
34500;0.0010003089904785157;;;34500;0,0010003
34600;0.0012001514434814454;;;34600;0,0012002
34700;0.001400136947631836;;;34700;0,0014001
34800;0.0010000705718994141;;;34800;0,0010001
34900;0.0010007858276367188;;;34900;0,0010008
35000;0.0010005950927734375;;;35000;0,0010006
35100;0.0014002323150634766;;;35100;0,0014002
35200;0.0010000228881835937;;;35200;0,001
35300;0.0009917259216308595;;;35300;0,0009917
35400;0.0010001182556152344;;;35400;0,0010001
35500;0.0010004043579101562;;;35500;0,0010004
35600;0.0009999752044677734;;;35600;0,001
35700;0.0009999752044677734;;;35700;0,001
35800;0.0013974666595458984;;;35800;0,0013975
35900;0.0010006427764892578;;;35900;0,0010006
