lineLimit;relCount;blankQueryTime (rounded);blankQueryTime
14200;31570;0,3754305;0.3754305362701416
14300;32010;0,3422279;0.3422279357910156
14400;32120;0,3958322;0.39583215713500974
14500;33152;0,3166261;0.31662611961364745
14600;33432;0,3440310;0.34403104782104493
14700;33712;0,3634298;0.3634297847747803
14800;34428;0,3420284;0.3420284271240234
14900;35322;0,3556290;0.35562901496887206
15000;36285;0,3408240;0.34082398414611814
15100;36521;0,3874345;0.3874344825744629
15200;36757;0,3752311;0.3752310752868652
15300;36934;0,3148250;0.31482501029968263
15400;37170;0,3756304;0.37563042640686034
15500;37583;0,3558278;0.35582776069641114
15600;37996;0,3468283;0.3468283176422119
15700;38700;0,3910321;0.391032075881958
15800;39000;0,3544290;0.3544289588928223
15900;39240;0,3380300;0.33802995681762693
16000;40321;0,3962333;0.39623327255249025
16100;40626;0,3462285;0.34622845649719236
16200;41974;0,3216256;0.3216256141662598
16300;43029;0,2692216;0.2692216396331787
16400;44096;0,3774308;0.37743077278137205
16500;44480;0,2610258;0.2610257625579834
16600;44608;0,2644213;0.26442131996154783
16700;45695;0,3056251;0.30562505722045896
16800;45890;0,3058249;0.30582494735717775
16900;46085;0,2902240;0.290224027633667
17000;46475;0,2672226;0.26722264289855957
17100;46865;0,3492287;0.3492286682128906
17200;47190;0,2604212;0.2604211807250977
17300;47385;0,2784224;0.2784224033355713
17400;48035;0,2922239;0.2922238826751709
17500;48490;0,3280269;0.3280268669128418
17600;48620;0,3422283;0.3422283172607422
17700;48685;0,2516203;0.2516202926635742
17800;49764;0,2738248;0.27382478713989256
17900;49896;0,2952239;0.29522385597229006
18000;50028;0,3308260;0.3308260440826416
18100;50160;0,2716222;0.2716222286224365
18200;50556;0,3232265;0.3232264518737793
18300;51523;0,2752196;0.27521963119506837
18400;51992;0,4266346;0.4266346454620361
18500;52059;0,3288301;0.3288301467895508
18600;52327;0,3190257;0.31902565956115725
18700;52662;0,2608209;0.2608208656311035
18800;54060;0,3064251;0.3064250946044922
18900;54196;0,3382275;0.3382275104522705
19000;55338;0,2596209;0.25962090492248535
19100;55683;0,3106246;0.3106245517730713
19200;55821;0,2518210;0.2518209934234619
19300;56980;0,3476282;0.3476281642913818
19400;57120;0,2894679;0.2894679069519043
19500;58291;0,2890237;0.28902368545532225
19600;58433;0,4254375;0.42543745040893555
19700;59544;0,3308236;0.33082356452941897
19800;59904;0,2652213;0.26522126197814944
19900;61174;0,3407650;0.34076504707336425
20000;61466;0,3176258;0.3176258087158203
20100;61539;0,4348354;0.43483543395996094
20200;61612;0,2828204;0.2828204154968262
20300;62826;0,3068255;0.30682549476623533
20400;63196;0,3634262;0.36342620849609375
20500;63344;0,3374310;0.337431001663208
20600;63492;0,2576209;0.25762085914611815
20700;64010;0,2784220;0.27842202186584475
20800;66120;0,2846233;0.2846232891082764
20900;66348;0,3226260;0.3226259708404541
21000;66728;0,3510289;0.3510289192199707
21100;67184;0,2626214;0.2626214027404785
21200;68530;0,4150320;0.41503195762634276
21300;69810;0,4094336;0.40943360328674316
21400;70044;0,3705909;0.370590877532959
21500;70200;0,3882351;0.38823513984680175
21600;71574;0,4648386;0.4648386001586914
21700;73872;0,3708299;0.3708299160003662
21800;74115;0,4604383;0.46043829917907714
21900;74358;0,3560287;0.35602874755859376
22000;74682;0,3700304;0.3700303554534912
22100;74925;0,3912318;0.3912317752838135
22200;75168;0,4002351;0.40023508071899416
22300;75492;0,3894311;0.38943114280700686
22400;75978;0,4598376;0.4598376274108887
22500;76140;0,3874351;0.3874351024627686
22600;76464;0,3705841;0.37058405876159667
22700;76626;0,4616373;0.4616372585296631
22800;76788;0,3578294;0.3578293800354004
22900;77031;0,3566194;0.35661935806274414
23000;77193;0,4910411;0.49104108810424807
23100;77517;0,3694321;0.36943206787109373
23200;77841;0,4256362;0.42563624382019044
23300;79212;0,4262338;0.42623376846313477
23400;79786;0,3438277;0.3438277244567871
23500;80114;0,3854330;0.3854330062866211
23600;80524;0,4908401;0.49084014892578126
23700;82170;0,3228245;0.32282452583312987
23800;82502;0,4416391;0.4416391372680664
